06-Aug-2020 (22:33:48): Epoch: [2][260/468]	Time 0.049 (0.050)	Data 0.001 (0.002)	Loss 1.6915 (1.5526)	Acc@1 40.625 (44.579) Acc@5 84.375 (89.485)	
06-Aug-2020 (22:33:48): Epoch: [2][270/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.4921 (1.5520)	Acc@1 45.312 (44.537) Acc@5 88.281 (89.475)	
06-Aug-2020 (22:33:49): Epoch: [2][280/468]	Time 0.049 (0.050)	Data 0.001 (0.002)	Loss 1.5422 (1.5530)	Acc@1 47.656 (44.490) Acc@5 89.062 (89.441)	
06-Aug-2020 (22:33:49): Epoch: [2][290/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.5378 (1.5513)	Acc@1 35.156 (44.521) Acc@5 92.969 (89.503)	
06-Aug-2020 (22:33:50): Epoch: [2][300/468]	Time 0.049 (0.050)	Data 0.001 (0.002)	Loss 1.5911 (1.5507)	Acc@1 44.531 (44.526) Acc@5 85.156 (89.522)	
06-Aug-2020 (22:33:50): Epoch: [2][310/468]	Time 0.049 (0.050)	Data 0.001 (0.002)	Loss 1.5602 (1.5514)	Acc@1 42.188 (44.509) Acc@5 88.281 (89.510)	
06-Aug-2020 (22:33:51): Epoch: [2][320/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.4520 (1.5495)	Acc@1 53.125 (44.638) Acc@5 90.625 (89.493)	
06-Aug-2020 (22:33:51): Epoch: [2][330/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.6547 (1.5489)	Acc@1 40.625 (44.685) Acc@5 83.594 (89.509)	
06-Aug-2020 (22:33:52): Epoch: [2][340/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.5294 (1.5486)	Acc@1 43.750 (44.676) Acc@5 86.719 (89.553)	
06-Aug-2020 (22:33:52): Epoch: [2][350/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.5857 (1.5480)	Acc@1 34.375 (44.674) Acc@5 89.844 (89.588)	
06-Aug-2020 (22:33:53): Epoch: [2][360/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.5813 (1.5471)	Acc@1 46.094 (44.696) Acc@5 89.062 (89.619)	
06-Aug-2020 (22:33:53): Epoch: [2][370/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.6165 (1.5473)	Acc@1 39.844 (44.674) Acc@5 85.938 (89.602)	
